0	7319 7683 8678
1	2261
2	6870
4	3890 8830
5	1670 5743
6	1379
7	5661
8	4498 7379 8677 8678
9	5064 5478 5704 6313 7443 8678 9784
10	1092 8367 8619
12	4590 5278
14	1381 4489
15	4529 8182
16	2430 8545
18	2611 7997
19	4981
20	4533
21	1881
22	7872
23	6870
24	3738
25	3738
27	9478
28	8160
30	5166
31	7618
32	5870 8614
33	9523 9546
34	6532
35	4881
36	1732 5908
37	2878 4881 8481 9897
39	8293 9723
41	5966
42	4895
43	4190 7319 8878
45	4570
46	4108 9860
48	4762 5434
49	8917
50	6757
52	1219 4281
53	9546
54	1542 1676 2030 2114 2260 2890 3029 3133 3212 3617 3682 4510 4903 4956 5188 7149 7930 8834 9189 9233
55	2260 2626 2904 3071 6722 7089 7234 7399 7933 8834
56	3530
57	2260 3071 5017 5188 6567 6722 7733 7881 7933 8428
58	7595
59	1298 1927 2830 4703 4758 4956 5252 7399 8403 9333
60	1345 4758 9094 9400
61	4820 5278 6561 8797
62	1665 1796 1927 4609 4820 6363 9582
63	1242 1796 2030 5142 6567 7234 9333
64	1797 2612 3366 4445 6498 7404
65	1927 4576 7881 8536 9333
66	3888 4903 6039 7933 8428 8797 8834 9189 9839
67	1242 1609 1796 2635 3071 4387 4956 5229 6039
68	4576 7399 9333
69	3189 5493 5821 8993
70	2810 5199 5229 7933 9094
71	1796 2810 3122 4609 6567 8958
72	1664 3617 7570 7881 8834 8888
73	5142 7234
74	1796 2719 5378 6567 7933
75	1133 2830 3384 8403 9282
76	2326 2424 4799 5278 5681
77	4978 5916 9569
78	2007 2335 4609 5017 6060
80	7733
81	7733
83	4602 8719
84	7810
85	1665 5330
86	2329
87	1723 2329 6855 8722
89	8713 8888
90	5594
91	1379 1634
92	6340
93	8839
94	4096
95	3573
96	1630 2729 3299 7236
97	7182 7738
98	1379 5278 7236 8733
99	2849 8713
100	7034 7660
101	1629 4753 8701
102	8713
103	6371 7848
104	5594 5620 8888
105	2002 4083
106	5594 5837
107	5594
108	8713 8888
109	4096 5837 8888
110	2975 4096
111	1629
112	6405
113	4096 9661
114	8888
115	4096
116	5378 7140
117	8888
118	4504 7997
119	8587 9224
120	4096 8713 8888
121	3299 3628 4498 7236 7649
122	7390
123	6340
124	4096
125	1630 2755 4153 9012
126	4096 6340
127	1665 8678
128	8713
129	4096
130	5297
131	4096
132	5119
133	4096 8713 8888
135	4883 9096
136	1992 2751 6588 8293 8677 8952
137	3220 3837 4573 4633 8224 8677
138	1253 2389 3220 4393 5997 7557 8677
139	6201 8677
140	3244 6291
141	2550 3530
142	1230 1473 2833 4360 4547 5667 6864 8677 8838 9234 9687
144	3364
145	1230 1506 1723 4670 5344 9253
146	2820
147	2919 5530 7700 8834
149	1710 3359 4092 7727 7854 7932 8254 8938 9102
150	1581 5606 6870
151	3354
152	4095
153	1230 5320 9530
154	2862 3276 6492
155	4895
156	8403
157	5783
158	2037 3061 3343 4188 5364 6421 7594 7657 8169 9989
159	3829
160	1214 1230 1473 1794 3789 6371 6643 8286
162	9071
164	1746 4223
165	2196 3384 6084 8908 9820
166	1417
167	5167 6004 9789
169	1230 4978 6588
170	1178
171	3014 9295
172	1379 6558
173	1413 3974 5638 6701
174	7638
176	2626
178	6100
179	6100
181	2574 2876
182	6248
183	8195
185	8095
186	3009 8908
187	3009
188	5908 9523
189	7421
190	5908 9523
191	6678 9849
192	1987 2004 4188 9523
193	5951 9523
194	5908 8123 8908
195	1395 6129
196	5908 6310 6914 9687
197	2435
198	1160 7401
199	3696 4188 5649 8854
201	7490 8181
202	4075 8770
203	4075 8770
204	4075 5231 5300 5357 8770
205	5357
206	3753
207	2550 4075 5231 8770
208	4075 8770
209	4075 5011 5231 8770
210	1338
211	1665 4486 4602
212	7176
213	4075 5300 8770
214	4252
215	7176
216	4075
217	7176
218	4075 5320
219	2116 7176
220	7176
221	7176
222	2116 7176 7973
223	7176 8058
224	7277 8058
225	1023 5320
226	7176
227	6362 7176 8058
228	5011 5320
229	2116 3885 3980 6421 7176 9564
230	5011
231	1023 1381 4075 6565 8770
232	4075 6565 8770
233	4489
234	5357 6823
235	1907 9564
236	1710 4075 4223 8770
237	7176 7632 9500
238	1242 7176
239	4075 4338 5300
240	7176 7599
241	4075 6565
242	6167 6191 7570
243	2329 7176 8058
244	3220 7176
245	5307 8622
246	3029 5070 8509
247	4075 5357 8770
248	7176
249	7176
250	4075 7325
251	2989 4075 8770
252	1819 4075
253	7176
254	8908
256	2471 4765 6129 6745
258	4089 8800
259	2925 3884 5110 5229 6701
260	1230 6004 6371
261	8876
262	2390
263	1243 1715 2274 3539 8824
264	1715 3220
265	2258 6004
266	1715 4529 9417
267	2390 3884 4765 6143 6701
269	3166
270	4758 5351 9166
271	7638
272	5829
273	2833
274	8088
275	7360 7404 7638
276	3840
277	5829
278	4758 7638
279	2424 5829 6604 7271
280	1833 7638
281	3946 5829
283	4125 7664
284	6754
285	3507 9835
287	7844
288	2390 6421 9585
290	6823 7209
292	5966
293	6823
294	6823
295	6823
296	6823
298	9859
299	6006 6285 8392
300	1083 8952
302	1710 7599
303	5696 5841
304	7696
305	1311 4555 4590
306	3705
307	7855
308	2820
309	1033 2605 2978 5518 8375
310	5183
311	1242 1965 8405
312	9333
313	2909 3974 4895 5995 7225
314	7570
315	2505 5877
317	6754 6807
318	3583
319	8719
320	3105 4536
321	8719
322	1365
323	1881 3105 3462 9864
324	2399 2730 3054 3363 6630 6778 8447 8785 8843 9505
325	3539 8854
326	9065
328	2550
329	2550
330	2550
331	2550
332	2550 9846
333	7632
334	2550
335	7461
336	2550
337	2550
338	2550 7986
339	6823 7632
340	1062
341	6823
342	4493 7632
343	2550 6823 7632
344	4035
345	7632
346	9210
347	3636 7632 8195 9989
348	2550 6823
349	6823 7632
350	6823
351	8028
352	6823
353	1996 2550 5299
354	2550 7632
356	6541
357	3530
358	2550 3530 6747 8218
360	8182
361	2737 5472
362	6083
363	1710 9852
365	4590
367	1473
368	1230 1473
369	6837
371	2550
372	3340
373	3358 4758 8795
374	4432
376	1024
377	1024 7045
378	3220
379	5194 5270 6701
381	7277 7918
382	9612
383	6112
384	6276
385	2302 9612 9896
386	7530
387	8567
388	8825 9991
389	3565
390	7529
391	4670 5829 8118
392	6370
393	2724
394	3676 4359
395	3202 7792 7918
396	1146 1214 4089 4978 7277 7918 8616
397	1418
398	5434
400	1927 7926 9408
401	9789
402	3399 4088 4153 4208
403	3882 7910
404	8199
405	3762 8080
406	6559 8838
407	4208
408	4490
409	1230 1864 3882
410	1230 3882 4208 5059 9210
411	5118 8034
412	3762
413	4978 6481
414	2550 9636
415	7638
416	1797 9569
417	1230
418	1484 7370
419	2865
420	4258 7461
421	3952 5621 8080
422	1484 2568 4208 8025
423	3092
424	2620 3618 4978 5112 6505
425	2568 3220 3554 4208 6585 7370 7461
426	4053
427	2370 3244 8335
428	1484
429	9945
430	3092 3882
431	1230 1484 2326 4025 5273 9233 9292
432	1927 5649
433	4232
434	2329 4208 5621 9233
436	6467 8284
437	6867
438	2291 2833
439	1636 6143 6172 6870
440	9886
441	2960 7578
442	9289
443	8771
444	4768 8629
445	1129 2857 4111 4164 5500
446	1253 2960 8092 8843
447	6492
448	5719 8795
449	2904 3545
450	3583 3840 4053 5252
451	1253 1923 2960
452	3583 7570 8293
453	4308 6604 8676
454	5351
455	1338 3668 4007 4978 8455 9847
456	2823 3384 4331
457	2390 2398 2857 3980 4978 5351 5935
458	3997 4338 5743
459	4508
460	3647
461	1746 5821
