0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,ITEM_ID
-0.11019956,0.094144784,0.05462187,-0.14000258,0.16067742,0.14745304,0.038429756,0.2209863,-0.017521588,0.009598275,0.02569448,-0.08109174,-0.08076814,-0.12690465,-0.027919479,0.06407088,0.023263786,0.08460422,0.115232,0.09295473,0.13122594,-0.17430346,-0.074345626,0.06398748,0.046699032,-0.051218107,-0.060469765,0.2694506,0.3179463,0.06935571,0.08120319,0.06576891,0.039868232,0.027988484,0.03675436,0.13635202,0.088535324,0.15636112,0.002907255,0.23813114,-0.029717682,-0.21785702,-0.06475737,0.077799894,0.035224564,0.16617611,0.11160716,0.114568904,0.15661198,-0.030047301,-0.16576478,0.105224326,0.13823853,-0.1154623,-0.062642045,0.12018688,-0.1935153,-0.22087835,0.096814685,-0.110310376,0.27261567,-0.012674143,0.08919283,-0.09650988,7683
-0.011683237,-0.15503526,0.12974371,0.0146531295,-0.1266201,0.08131955,0.20829342,-0.15253052,0.025461165,0.051515907,0.22296076,-0.18202677,0.09019702,-0.027474998,-0.12417293,0.11759032,-0.025955677,-0.11890608,-0.018273901,0.09188056,-0.21150613,-0.07154194,0.10454239,0.03796859,0.030191585,0.18880583,-0.0057535144,-0.049137387,0.3160018,-0.08451509,0.023330864,-0.40039223,-0.028079145,-0.10313072,-0.17349106,0.07839289,-0.033369914,-0.10890318,-0.0013287987,-0.03711914,-0.015049378,-0.12674375,-0.07337919,-0.21179028,-0.013174457,-0.07013641,0.05631556,-0.13000259,0.011345885,0.07436068,-0.20796084,-0.12844771,-0.056147706,-0.027944276,0.0002498252,0.06332052,-0.14863774,-0.19008993,0.085889205,-0.045691933,0.07969071,0.033690806,0.10301358,0.19916463,8678
0.13471052,-0.16513655,0.16431639,0.015064506,0.06871283,-0.12289465,0.14151633,-0.14743198,0.03745709,0.06936171,0.18533394,-0.20643607,0.19486637,0.12740865,-0.039952338,-0.038293652,0.17422602,-0.21655807,-0.045287903,0.12876993,-0.14868985,0.14318031,0.040343188,-0.03920383,-0.15957998,0.00890492,-0.053374205,-0.13074495,0.028971687,-0.23556824,-0.021013035,-0.3370801,-0.059667896,-0.012777324,-0.1301841,0.006776025,-0.11159917,-0.14527905,-0.027501438,0.022524487,0.041074038,0.011525017,-0.06976212,-0.28433922,-0.026686035,-0.14434503,0.10983934,-0.08812695,-0.04870524,0.027659055,0.0031346057,-0.22643113,-0.124284506,0.037557665,0.049068715,0.037619658,0.001257876,0.041269872,0.06565782,-0.026804294,-0.048141573,-0.16464536,-0.062710755,0.26102152,7319
0.15149604,-0.15063186,0.0887718,-0.009740803,0.17672215,-0.008245412,0.20738208,0.048210565,0.025700811,0.07064409,0.20398171,-0.11669233,0.18198632,0.07601249,-0.01685093,0.025554022,0.09236695,-0.11997985,-0.10432218,0.070963174,-0.13075018,0.065667495,0.07669094,0.039107095,-0.19091569,0.08344986,-0.10323725,0.0073350673,0.18605137,-0.3036628,0.017542843,-0.35306457,-0.10908949,0.00043003133,-0.15581569,0.11668929,-0.19478634,-0.007213864,-0.054997113,0.04468572,0.09674517,-0.049015235,0.19316745,-0.18967147,0.0004743506,-0.070724145,0.102796264,0.015626693,-0.07036005,0.021905944,0.10014695,-0.14347537,-0.11479736,0.035200536,0.10997133,0.13273281,0.09021768,0.06890054,0.15648489,-0.2137131,-0.05648589,-0.036565315,0.027013676,0.18251346,2261
0.14689381,-0.13478525,0.066111766,-0.03227057,0.044889394,-0.12861614,0.16045924,-0.1648381,0.052467983,0.08850953,0.24271569,-0.14569189,0.2169318,0.15770598,-0.046060372,-0.053557012,0.16834183,-0.16197254,-0.014561945,0.03388705,-0.17777379,0.12299308,0.08696371,0.03140995,-0.17751588,0.10729869,-0.06330663,-0.04552855,-0.053699978,-0.2737997,0.016205795,-0.28884524,-0.08616321,0.012979911,-0.11307254,0.049064178,-0.23099981,-0.054042585,0.08876349,0.024901453,0.008815002,-0.0025010677,0.095100716,-0.2860155,-0.0057036006,-0.12324644,0.031248828,-0.08896978,-0.1479419,-0.012340273,0.04250763,-0.12561324,-0.13259397,0.053695913,0.0668816,0.048824683,0.06174023,0.19851671,0.056748908,-0.015985528,-0.12499443,-0.09800721,0.00039073097,0.22885256,6870
0.1141627,-0.15316519,0.07832161,-0.029313356,-0.010673116,-0.096729875,0.14461072,-0.23007151,0.05738401,0.0747289,0.18224938,-0.18208523,0.20388377,0.047793064,-0.0774174,-0.02347211,0.13837531,-0.23143083,0.022639016,0.018176554,-0.14340955,0.13990091,0.06528135,0.013845252,-0.12293027,0.13841459,0.007745344,-0.113789074,-0.09613936,-0.24569179,-0.01475868,-0.3490079,-0.09206836,0.047767375,-0.14446299,0.06753045,-0.18214333,-0.12514049,0.0888413,-0.0671193,0.018233253,-0.0041712886,-0.002237758,-0.2946327,0.011841809,-0.1385147,0.023519794,-0.13085791,-0.13267048,0.023128321,0.0013057818,-0.08238684,-0.11909582,0.050105333,0.05008969,0.0060661896,0.017665375,0.18142714,-0.010079412,0.008967404,-0.1126412,0.014106105,0.033579014,0.2780675,2550
0.12695225,-0.14873117,0.08245203,-0.011483792,0.03027637,-0.102225475,0.15323989,-0.19618094,0.05137477,0.0837606,0.18287645,-0.14942078,0.20005478,0.08343924,-0.07068484,-0.012072836,0.13795312,-0.23232765,-0.0014428544,0.022875024,-0.15347725,0.13588633,0.053491157,0.011906599,-0.14666566,0.11791765,-0.0007220366,-0.120320305,-0.053696454,-0.26893592,-0.009901314,-0.35171035,-0.107331395,0.054096766,-0.13384983,0.078331076,-0.20232329,-0.11060472,0.07271621,-0.028875053,0.015612392,-0.0009243939,0.012220557,-0.32119045,-0.0002533387,-0.13433953,0.044924892,-0.11893706,-0.116306506,0.013839542,0.04626092,-0.09952493,-0.11389678,0.04511085,0.06076164,0.008831072,0.008471736,0.17374882,0.019132437,-0.029024439,-0.0872017,-0.0046262676,0.025432652,0.27685428,6823
0.13922533,-0.16913901,0.11593958,0.0075032334,0.05146277,-0.11069053,0.18135628,-0.13474438,0.08613042,0.098754466,0.23457728,-0.12231505,0.20084852,0.14912812,-0.04334299,-0.031774465,0.19166267,-0.17689712,-0.018909404,0.04489804,-0.1929366,0.11114411,0.06500725,0.04933018,-0.1499473,0.110649236,-0.051267806,-0.059592422,0.002726072,-0.28756753,0.022883072,-0.30385885,-0.08880036,0.009246312,-0.113204375,0.0626862,-0.204488,-0.09372679,0.048911266,0.0218062,0.055416975,0.012115052,0.081075974,-0.29659134,-0.03368273,-0.12345757,0.05256853,-0.09328681,-0.098648496,0.010571803,0.054101493,-0.14218456,-0.116309375,0.0873321,0.07064122,0.034351382,0.001766868,0.16392943,0.05601556,-0.055626724,-0.11087794,-0.09063093,0.0012771022,0.24315341,8830
0.16347286,-0.17180891,0.12702443,0.0062399404,0.18709153,-0.033882573,0.23229899,0.017858611,0.0047641727,0.06490238,0.16850188,-0.047816336,0.16294722,0.08381244,-0.049156148,-0.028749092,0.09359334,-0.1630436,-0.11301861,0.046760343,-0.13733153,0.02403822,0.033790056,0.013496567,-0.14423364,-0.006775829,-0.059181616,-0.030856365,0.26450518,-0.28510717,-0.008447026,-0.33706933,-0.06793521,0.0066298633,-0.09494951,0.056617368,-0.16317971,-0.012960974,-0.042699184,0.10122418,0.11908407,-0.00069701625,0.1101122,-0.29756808,-0.05967508,-0.03813902,0.110878155,-0.03850849,0.008632282,0.037567746,0.12376513,-0.133355,-0.13419355,-0.013748901,0.07467838,0.10382988,-0.0056598494,-0.0574554,0.24384472,-0.21032694,0.04278243,-0.06816049,0.023269067,0.17757379,3890
0.018818209,-0.104617216,0.10382694,-0.08295331,0.0910357,0.16383086,0.16267985,0.015230958,0.052151304,0.035885308,0.20815818,-0.027145812,-0.020379594,-0.086878665,-0.09348443,0.18449374,-0.12087426,0.13124521,0.12271473,0.022701979,-0.18540967,-0.270357,0.027285013,0.18271644,0.14443953,0.22294596,0.018325599,0.027631659,0.34915796,-0.05106652,0.111739494,-0.13182296,-0.047270354,0.013255978,-0.11422157,0.16147384,-0.106871665,-0.03094877,0.18282078,0.05473146,0.025786694,-0.20296825,0.1493983,-0.1127549,0.021696687,0.06772602,0.0052718567,-0.14294313,-0.063854076,-0.032806195,-0.12735838,0.023133898,0.06669522,-0.01504972,-0.03677081,0.057843376,-0.20440242,-0.17945042,0.10720653,-0.159121,0.02777972,0.1451266,0.18902595,-0.05439316,1670
