0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CUSTOMER_ID
0.20283164,-0.6336778,0.096930295,-0.16278917,-0.027371943,-0.45602193,-0.29069772,0.10976112,-0.37656626,0.52651846,-0.12468297,-0.2539292,-0.4581417,-0.6551081,-0.47558022,0.46324787,39260
0.13432072,-0.5055285,-0.4626994,0.15153459,-0.029961959,0.18357983,-0.07775179,-0.014611989,0.11282578,0.20048594,-0.47140822,-0.2998311,-0.14341445,-0.015075862,-0.42558676,-0.014751747,30743
-0.1426031,-0.8397037,-0.022975067,-0.1163953,-0.33578616,0.14160192,-0.47842342,0.33007252,-0.0048218453,0.08535982,-0.6077424,-0.35954353,-0.5894445,0.039821565,-0.14590952,-0.24746057,28346
-0.01355046,-0.37600434,0.06881417,-0.21058372,-0.1208767,-0.048042603,-0.24747291,0.42374888,0.078410424,0.059432276,-0.3455559,-0.41137853,-0.43632984,0.0070079863,-0.057822876,-0.01803875,77899
0.06355643,-0.43374872,-0.21092083,0.15932187,-0.027398363,-0.048119083,-0.34457308,0.24756834,0.082695365,0.08694803,-0.33639437,-0.17075817,-0.17694904,0.16694403,-0.1965507,-0.1341272,72868
-0.12821203,-0.26448688,0.12797442,-0.21705994,0.1989054,-0.48404127,-0.27548516,0.45063132,-0.11728353,0.40663713,-0.058157355,-0.15745464,-0.34997422,-0.50239366,-0.10018429,0.5425428,71430
-0.0018948317,-0.4869492,-0.1296108,0.0073668323,-0.10372302,0.060463764,-0.39022955,0.21879898,-0.017351272,0.1584132,-0.30348468,-0.3604894,-0.31549296,-0.08539699,-0.050423793,-0.05753942,80929
0.29409567,-0.73146695,-0.4109927,0.14983205,-0.12656961,0.005909167,-0.56603885,-0.14203653,0.13992637,0.13510232,-0.727417,-0.31154007,-0.103856176,-0.39403898,-0.36880392,-0.10902017,65238
0.33521798,-0.20253679,-0.27182618,-0.10921402,-0.021590412,-0.17610267,-0.2662784,-0.09751051,0.18197027,0.5524677,-0.33367524,-0.23579973,-0.20095606,-0.33135745,-0.60816467,0.4767598,51788
0.39771104,-0.35328323,-0.27944088,0.013580181,-0.08522059,-0.24969009,-0.45955342,0.25427985,0.44587734,0.52596974,-0.61028636,-0.39761364,-0.0064403266,-0.51655203,-0.46193922,0.3640077,69033
-0.25687554,-0.87219876,-0.16211015,0.23269278,-0.08456902,0.17063299,-0.25775084,0.8022106,0.3591588,0.20671973,-0.46721354,-0.6355271,0.018540852,0.059930533,-0.2750008,-0.31924897,49180
0.13729666,-0.34711164,-0.32312822,0.17126249,0.07348578,-0.07788403,-0.36933067,-0.3406657,-0.1741422,0.34122428,-0.09873666,-0.16779405,-0.2873763,-0.2249619,-0.50687945,0.30764017,53446
0.14120533,-0.29674405,0.01521489,-0.22722809,0.16876861,-0.25378585,-0.10626757,0.060756713,-0.26643533,0.21935338,-0.14091204,-0.23405609,-0.21018334,-0.74889624,0.053704754,0.65631425,31957
0.16248007,-0.48356286,-0.14210136,-0.09217593,-0.27893925,-0.48433506,-0.32278192,0.7364262,0.13016936,-0.12533708,-0.70696545,-0.20607391,-0.5273036,-0.009155929,-0.16691744,0.06764838,34777
0.26075485,-0.4429308,0.14605424,-0.22372055,-0.22216147,-0.67880005,-0.24631554,0.8529235,-0.13302386,0.4700819,-0.3645934,-0.23094893,-0.3196749,-0.56893516,-0.25779998,0.7060043,53564
-0.11957261,-0.05508006,-0.29422998,-0.02431912,0.48577097,-0.25180796,-0.6088899,-0.036899343,-0.11957249,0.76736975,0.13368279,0.004188925,-0.045862257,-0.9141488,-0.27786955,0.785493,26408
-0.15629178,-0.31876364,-0.344662,-0.045740753,-0.16707043,0.10168179,-0.042580813,0.24035953,-0.110583395,0.073764086,-0.319749,-0.30000204,-0.59837615,-0.12796211,-0.043871924,-0.116551824,24957
0.22419742,-0.34399024,-0.03265164,0.06256451,0.25046048,-0.5599983,-0.39427456,0.28987688,-0.06804918,0.3920043,-0.1929315,-0.13931955,-0.113405764,-0.66292274,-0.2548341,0.22857986,85085
0.31765345,-0.20884287,-0.0189801,-0.033570822,0.1266043,-0.66040695,-0.2806682,0.30038366,-0.06236451,0.30200082,-0.32231498,0.016727641,-0.15182146,-0.5577657,-0.28561312,0.73548913,81030
0.25092518,-0.16866142,-0.1920147,-0.065409176,0.013594538,-0.02913133,-0.37868857,-0.112498425,0.038633183,0.2125143,-0.039275743,-0.38064712,-0.22482574,-0.3128864,-0.34519294,0.14833474,51018
0.30875468,-0.3917355,-0.29086074,0.050991174,0.10323123,-0.2378335,-0.4209503,0.08666401,0.07310286,0.31941026,-0.3688222,-0.45538422,0.14481372,-0.53680533,-0.41650352,-0.020035312,44286
0.05458042,-0.53978074,-0.112401,-0.030247241,-0.07924686,-0.5480823,-0.19908613,0.5601356,0.23055066,0.3737964,-0.45955527,-0.3357557,0.07257074,-0.15960494,-0.39951026,0.025019899,79514
-0.056484938,-0.61154586,-0.2405011,-0.19982195,-0.44726127,-0.2008586,-0.36731517,0.7928165,0.12719789,0.33689868,-0.59188044,0.0125157535,-0.5404285,0.23851797,-0.32598183,0.3258706,17441
0.19212732,-0.44341886,0.03264729,-0.17280868,-0.20729668,-0.6036161,-0.10049702,0.6895659,0.21579866,0.35071528,-0.5413447,-0.20654507,-0.09925413,-0.32373646,-0.23728745,0.43588632,46789
-0.019732982,-0.6849984,-0.202355,0.23687738,-0.17518727,-0.17202574,-0.31089595,0.795011,0.3889128,0.33172536,-0.59511733,-0.41591728,0.159825,-0.13074669,-0.45433766,-0.26749426,49225
-0.17725803,-0.41256645,-0.1429978,0.027154349,0.03454505,-0.25754812,-0.25239405,0.33165777,0.003927462,0.43670475,-0.13468361,-0.14797159,-0.3866703,-0.4858538,-0.14648244,0.09082328,93337
0.01885742,-0.3802042,-0.3065063,0.15873063,0.15610492,0.09322637,-0.31468725,0.1734341,0.22779365,0.17544603,-0.17710379,-0.3047486,0.1562033,-0.06389108,-0.19490747,0.008141547,13242
