iid,cluster
3817,16
3571,6
6904,0
4379,12
5796,12
6367,15
3879,6
2303,0
5741,15
2552,0
8246,0
3215,13
2513,6
3798,6
8067,4
7987,12
4073,17
4658,10
8798,12
6810,0
8689,16
6017,16
6033,14
1633,0
6732,6
5693,12
8499,0
9293,0
1671,16
6578,3
5601,12
9981,15
3694,12
6734,6
3767,15
9751,6
3231,14
2508,13
2102,0
5163,14
3499,12
2806,14
5349,14
8975,16
6525,17
2977,12
6598,15
7504,16
8250,15
1115,6
9394,6
8188,6
8633,18
7075,0
2518,17
1455,3
2257,12
4551,12
5465,18
8102,16
7697,12
5607,12
2895,12
4396,12
7805,18
7912,16
6316,18
5628,16
6843,13
4653,4
1812,17
7567,0
4697,16
9348,12
3442,0
2372,16
8555,13
5860,18
4044,12
1011,3
5603,12
9540,3
8818,6
3994,0
1130,0
2533,13
5596,10
9875,5
4063,16
3880,17
4622,12
4628,12
2959,5
9854,6
9573,10
1373,0
2061,16
6716,0
8484,5
4886,10
5033,3
9020,0
6400,6
5634,16
8930,10
7689,3
5906,10
5006,4
5575,6
9610,15
8921,6
7672,6
9694,6
7060,6
3750,15
2913,18
6187,10
9152,16
9992,10
9471,16
4098,3
5479,13
4391,18
5964,16
7870,6
5884,6
6949,3
8360,5
7001,12
8753,12
5379,0
4076,10
6488,6
8960,3
2530,17
2146,10
8974,12
8126,3
9194,15
8115,5
8889,18
5126,3
3374,12
8714,12
4408,0
1026,14
7563,3
4521,12
1652,5
5053,18
4823,10
6693,6
9336,6
4904,14
8011,6
9967,18
4019,6
5391,12
8258,13
4994,6
7395,16
6840,18
6281,6
5890,16
2122,16
2824,10
9419,18
5399,12
2503,16
6572,15
4439,13
7989,6
7153,12
5617,13
5733,16
3796,6
3935,13
8245,6
4914,15
2236,12
9529,16
1512,16
5397,12
3721,3
7334,12
8270,6
2150,10
8617,12
1880,10
9214,10
7742,16
2009,0
7403,5
6166,10
2415,6
2164,12
1389,3
4650,6
8210,6
2563,16
1591,12
9700,6
2915,6
4042,6
3178,6
3558,16
6789,12
6193,16
6632,6
8498,13
6500,10
5047,5
1364,12
8364,6
6570,6
6359,0
1496,15
2216,12
3091,16
2166,16
6686,6
5845,12
3559,5
8589,12
4506,16
7828,15
9946,12
7374,17
6301,12
1595,10
7289,16
9494,6
8650,16
7232,12
5115,0
9729,0
8280,5
9565,13
3326,12
2153,6
4269,16
9245,16
8514,10
7377,0
3763,16
5009,16
8877,12
2003,18
4023,14
3546,10
1677,12
7748,6
4441,10
8706,14
7538,16
9932,17
2029,15
3909,5
3015,6
1689,6
4882,6
1149,12
1982,0
6024,3
5430,12
4733,10
9635,3
5002,18
7651,4
5715,13
3809,5
4964,10
8192,13
7551,0
9940,3
3084,6
2606,6
1321,15
7763,16
9781,10
7937,3
3180,13
7167,17
4046,6
8292,6
7948,17
7159,6
4905,12
9993,6
3598,6
6149,15
6925,12
4690,10
1346,10
9892,14
9878,15
8989,16
3557,16
3085,0
8040,5
9304,16
4970,12
5561,16
9642,6
4340,16
9483,6
9578,15
8135,0
6609,16
5768,16
4606,6
9033,12
1100,6
8674,5
6050,12
3452,10
2868,12
7661,17
9025,12
1840,12
7125,17
4542,6
7137,12
1095,5
8671,13
1735,6
6876,17
3280,19
6901,12
8454,18
2871,16
6075,0
6043,6
8339,12
6158,6
7496,13
7719,6
5237,10
3855,10
9315,10
6103,17
4878,16
8837,4
6792,9
6003,12
8042,6
8703,16
2796,0
3222,9
3644,16
4640,6
3724,12
9975,15
2272,16
5886,13
2636,12
2189,5
6633,16
2035,6
7391,5
7451,6
1719,6
7416,16
5403,6
2930,6
1380,16
6337,4
7308,13
3653,15
7798,0
5314,13
2509,0
8842,6
2490,17
4352,12
5851,3
3494,10
8855,12
8312,14
6829,14
8894,6
7195,0
3184,6
3575,17
6902,12
9176,16
3043,13
8359,14
2344,12
6054,0
7254,6
5949,6
4612,16
8741,18
7057,12
4279,12
4793,16
5151,16
1565,0
3034,12
7430,12
4297,15
2203,12
8217,0
2077,16
7787,16
8802,3
7402,6
8898,6
7589,16
9223,17
4266,17
3788,13
1612,12
3214,12
6971,15
5806,16
6418,6
7359,6
4135,15
6720,3
4265,6
3044,16
2407,16
1536,12
6977,0
2493,16
5212,15
9232,6
2297,12
7520,13
8675,16
1694,6
4491,12
5021,16
2758,5
6813,6
7830,6
9904,6
6905,16
2928,7
6613,6
9933,12
2739,6
9490,16
4580,10
2468,6
3854,13
2477,15
9536,16
2507,18
5347,12
8130,17
7819,16
1709,16
7665,16
2427,17
9951,18
1209,10
7688,14
9157,3
8426,6
8807,0
1810,12
9710,13
9589,6
8152,18
7157,5
5409,5
4446,4
3026,10
4674,12
1332,0
1922,10
9754,5
8074,10
4421,6
1292,12
2699,16
7711,12
9753,18
6013,16
3426,10
6736,16
1407,12
3886,14
9711,12
7312,4
6407,16
7843,12
7367,12
7315,6
3349,5
6775,5
9758,3
4480,16
1834,6
4449,16
7350,6
5346,6
5218,6
2504,10
3353,12
9087,15
3427,18
9519,12
4685,12
1911,15
7743,0
7197,12
8608,10
1752,16
5776,6
1621,16
2746,6
8615,16
9273,0
9501,10
9228,13
4343,11
4271,16
9331,4
6414,14
6392,0
3422,10
4913,3
6533,0
3006,10
7677,10
1431,16
8512,16
9268,18
3441,16
3145,16
6117,6
4669,18
7998,17
1145,5
8731,6
1136,10
9679,12
1897,0
1460,16
3260,6
7199,3
7533,4
4724,12
8203,0
3460,12
9557,12
8350,14
8381,12
5323,10
2088,3
7228,5
8972,4
6653,13
7285,0
7130,12
4091,13
5713,0
4511,10
9242,0
5588,0
6989,6
1184,10
3038,15
7180,15
5880,16
1597,6
8501,6
7013,0
6314,4
3004,6
7306,18
1930,17
2141,12
6583,13
9246,16
1476,14
3611,10
6450,6
5107,10
1112,16
8029,6
1220,13
7535,12
6085,13
9131,3
6122,10
8370,16
5439,5
8844,16
9267,14
1730,6
3752,16
2912,12
9995,16
5422,14
5565,10
2104,12
9941,4
4631,16
9309,17
2228,17
4492,12
1639,6
8054,12
9305,6
9059,16
7188,13
3048,10
8746,16
6213,16
2954,18
8443,12
5373,6
6457,13
3186,12
9671,6
8590,6
7316,0
2672,12
3095,6
8789,10
7150,13
8968,6
1245,13
4273,6
5912,12
5721,0
8779,17
1960,12
2342,10
7537,16
5290,3
2464,12
5265,17
3251,17
9775,12
1675,10
6177,12
5516,5
8158,13
1249,16
6988,6
6480,13
2639,10
8291,0
5937,12
3465,0
7656,10
4270,12
8138,12
5090,17
8792,0
2489,12
5223,6
2163,16
3210,6
5925,3
6654,6
8791,0
9767,6
2892,6
9353,6
4727,12
1589,6
5691,13
4459,0
2764,16
3296,12
4694,10
4784,6
5676,12
2265,16
3380,16
1405,16
4933,10
9457,0
6356,16
5441,6
5843,12
1325,12
2117,6
2548,6
2444,10
6719,12
2139,5
5092,5
9706,12
4289,10
6208,6
1955,13
8354,14
8560,18
2844,17
6402,0
7936,12
1264,12
9973,0
1435,10
9290,6
1974,10
2362,10
2898,0
9476,5
4772,6
9579,12
3396,16
8491,13
5488,0
5068,10
6972,16
3453,6
2942,14
1829,10
6044,17
6887,13
6788,3
6247,6
6920,12
3746,6
5798,10
4801,12
7917,4
4525,0
1731,13
1134,16
9462,3
1265,6
8847,12
6875,6
2332,0
1918,6
1317,0
1060,10
2688,6
6849,6
6862,6
8310,5
4717,16
2089,12
6218,16
9705,5
8640,12
4792,0
1420,16
7356,6
9779,0
7544,6
6225,10
2674,16
2723,6
6493,12
8891,12
7715,13
2732,12
6969,6
7543,18
2466,12
3117,16
1372,5
8667,17
5520,5
2115,10
5242,16
5921,10
9392,16
7077,12
8738,10
7047,10
1912,6
4558,12
1515,10
3970,6
4404,16
6485,0
8276,16
1453,0
7892,6
5263,12
3493,16
1005,5
8623,12
7562,10
7473,13
4176,0
4484,15
4017,12
2231,0
9164,6
9263,6
1162,16
2168,10
9801,0
5868,4
7348,13
9717,10
6586,6
2882,12
2728,15
4861,12
7781,6
7988,16
6752,12
4595,16
5028,16
3312,10
8806,12
2604,6
1739,16
8019,15
5076,6
6305,12
9134,6
2406,13
1631,16
4272,6
7906,6
6573,15
4557,16
2178,14
4790,3
6317,16
4838,12
9188,12
1574,6
7820,16
2440,0
7749,0
5793,12
8362,10
1180,6
1131,12
6756,6
1685,16
4067,0
8957,6
9148,17
8295,16
7313,12
4735,16
9447,10
7702,16
5345,5
5876,6
3670,5
6410,6
2336,16
3293,12
1822,10
4033,14
7636,12
1712,16
9458,0
1085,0
8688,5
6612,10
3527,0
8530,13
2967,18
7061,0
2182,6
3743,12
1747,4
4745,17
6772,10
3731,6
8939,17
5746,6
9283,6
2926,6
1656,6
5334,6
3936,6
7938,12
4423,12
6518,10
7977,12
7597,0
6190,15
9030,12
8811,12
7156,6
2776,13
5095,18
1725,3
4946,6
5893,0
7340,10
4990,16
5739,10
1030,17
1288,12
