0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,ITEM_ID
0.14661428,-0.13335875,0.37286586,-0.318139,0.20217413,-0.2314379,-0.052262507,0.43328562,-0.14370377,-0.48519123,-0.18746518,0.04133442,0.21934932,-0.24855411,0.02573219,0.26014984,6100
0.09540871,0.15084627,0.15518415,-0.5982342,-0.012939513,-0.051426485,0.06517699,0.31214118,-0.36280534,-0.20633532,-0.120217115,0.026078716,0.25133455,0.03755392,-0.21229963,-0.01847826,1746
-0.18582764,-0.13769509,-0.07134916,-0.25714555,0.27362344,0.46374547,0.019227728,0.95913845,-0.63721555,-0.16860342,-0.0926863,-0.35129985,0.4365533,-0.477556,-0.23396915,0.02925545,1315
0.10876095,0.45197526,0.25279212,-0.39724907,-0.024215043,-0.030225169,0.25151926,0.10454166,-0.1327532,-0.40259427,-0.22587085,-0.11465931,0.050883725,-0.26562703,-0.058739975,-0.29346088,8854
-0.03804581,0.111476526,-0.025454298,-0.75509965,0.013817035,-0.16232464,0.046874896,0.25927654,-0.69751644,-0.2778917,-0.13968927,0.26655248,0.19300541,0.054227028,-0.017628849,-0.5549054,9855
0.17760885,0.36858046,0.19851157,-0.4425949,-0.06752296,-0.15027857,0.28659275,-0.09429467,-0.27282965,-0.367537,-0.25877163,-0.120610006,-0.0031984672,-0.30678046,-0.17499627,-0.2749462,7461
-0.1675831,0.3174484,0.2090432,-0.7061349,-0.09034466,0.12845652,0.28681463,0.33369315,-0.28403953,-0.1553012,-0.3425107,0.045396127,0.23282042,0.035073694,-0.18159464,-0.24189521,7638
0.012838721,0.26256537,-0.04448689,-0.6999887,-0.106562,-0.05840387,-0.12033427,-0.068439625,-0.7767935,0.09945272,-0.117053494,-0.1684934,0.041406333,0.045070842,0.044767648,-0.11094302,3881
0.12547281,0.18826835,0.5402353,-0.27732652,-0.10340387,0.25908095,0.38042665,0.77525175,-0.18142387,-0.7881464,0.062540025,-0.1987839,0.3294132,-0.4989038,-0.2651974,-0.11939664,7064
-0.0030986816,0.03917454,-0.01776927,-0.39288867,0.34971663,-0.032985948,-0.13369745,0.5707592,-0.4407264,0.025133803,-0.07984514,-0.031131186,0.44460672,-0.26952103,-0.010655969,0.043083593,7714
-0.27224898,-0.05712198,0.47168803,-0.47107995,-0.018807568,0.23444119,0.10521762,0.8697036,-0.67638487,-0.34527946,-0.17672968,0.11797021,0.61624295,0.020415068,-0.17550594,0.21271616,8463
0.23384139,0.24422841,-0.007469442,-0.3019181,-0.11528748,0.072202235,0.22407275,0.3364062,-0.13709226,-0.37422556,0.12225406,-0.40831,0.21790557,-0.2827741,-0.22021024,-0.057997093,9333
0.1418801,0.42355892,0.08206315,-0.6089051,0.051856928,-0.13406904,0.045438685,0.23280531,-0.3180442,-0.17054215,-0.22171791,-0.27043852,-0.027182713,-0.14572786,-0.005753696,-0.33100462,9400
-0.23379065,-0.056040823,0.18087101,-0.52872103,-0.15826903,-0.15531021,0.21176186,0.42767715,-0.68147063,-0.19452254,-0.04651337,0.21606636,0.26656836,-0.12258303,-0.34284472,-0.04239574,2577
-0.025526077,-0.10092544,0.011806418,-0.30331007,0.15825291,-0.05044733,0.12900622,0.62603545,-0.37739885,-0.18160363,0.0003097416,-0.2521716,0.48955,-0.30779958,-0.56636816,0.05722356,2904
0.0016623437,-0.20535567,0.2984134,-0.043304652,0.26593307,0.13040262,0.32161996,0.561517,0.29409587,-1.006479,0.11762874,-0.22606936,0.60630655,-0.5371255,0.29721028,-0.10056056,4609
0.091843516,0.1459621,0.09504664,-0.50454676,0.041355696,-0.2521629,0.06801684,0.13112184,-0.34766632,-0.24829409,-0.113317825,0.07517989,0.22905767,-0.14695375,-0.16565177,-0.099626794,7696
0.06701368,0.15478116,0.11223833,-0.23701377,-0.044549428,0.12632751,0.34942058,0.56568676,-0.43354094,-0.22722064,0.09176671,-0.20209849,0.39507782,-0.28520375,-0.5617017,-0.056630492,6823
-0.21854198,0.14293571,-0.13328184,-0.21101087,0.30173224,0.5613503,0.40726894,0.71691686,-0.56310815,-0.27060056,0.077854946,-0.37020993,0.5967261,-0.46220693,-0.31713197,-0.23314838,6807
