uid,cluster
11334,2
11343,6
11346,4
11348,7
11349,7
11351,4
11361,4
11362,5
11364,4
11366,7
11368,2
11370,3
11371,4
11372,0
11373,6
11380,7
11385,2
11386,2
11388,2
11389,9
11390,7
11392,4
11394,4
11397,4
11399,9
11400,7
11402,3
11404,3
11406,7
11409,3
11410,2
11413,3
11414,2
11418,9
11419,6
11422,7
11424,9
11427,0
11430,3
11433,6
11437,4
11438,5
11441,9
11442,6
11443,4
11444,9
11445,5
11447,3
11448,6
11449,4
11452,0
11453,7
11456,6
11457,3
11458,0
11463,4
11464,6
11465,2
11469,4
11470,2
11472,3
11477,5
11478,3
11480,7
11483,5
11484,7
11485,0
11486,0
11489,3
11490,6
11491,7
11498,6
11499,9
11500,0
11501,7
11503,4
11507,5
11512,3
11513,0
11518,6
11519,9
11520,0
11522,7
11523,3
11529,4
11534,4
11536,4
11543,6
11550,5
11551,9
11554,9
11556,6
11557,0
11566,7
11570,7
11572,3
11574,7
11575,8
11576,0
11578,0
11580,7
11581,9
11583,4
11584,4
11588,4
11590,3
11592,7
11598,9
11599,4
11602,4
11603,6
11604,9
11606,7
11608,5
11612,6
11618,5
11621,0
11623,9
11627,9
11632,7
11633,7
11638,4
11639,7
11640,7
11641,5
11644,4
11647,0
11653,5
11654,0
11655,7
11661,0
11664,5
11666,9
11668,5
11670,3
11671,4
11675,4
11678,7
11679,5
11681,5
11682,7
11684,0
11685,6
11689,0
11692,6
11696,7
11697,7
11698,6
11710,7
11714,5
11715,5
11718,7
11721,9
11726,7
11727,2
11731,6
11734,7
11736,7
11738,5
11739,9
11741,3
11742,0
11743,7
11744,4
11747,3
11748,0
11749,0
11751,5
11760,6
11761,3
11762,9
11763,4
11764,4
11768,2
11773,5
11784,9
11786,4
11788,3
11791,5
11792,7
11793,9
11795,6
11798,4
11801,7
11805,0
11807,0
11810,4
11811,6
11812,7
11815,7
11817,9
11818,4
11822,7
11824,4
11826,9
11829,3
11830,3
11834,9
11836,5
11841,2
11842,2
11846,7
11848,2
11851,6
11852,3
11853,7
11855,8
11856,5
11857,7
11858,7
11859,0
11862,7
11863,5
11864,6
11866,7
11870,9
11874,2
11876,5
11877,9
11879,7
11880,7
11886,7
11888,5
11892,6
11897,7
11900,7
11901,4
11910,7
11911,5
11913,4
11916,5
11923,4
11926,5
11928,0
11931,0
11934,0
11938,4
11940,5
11941,7
11944,7
11945,2
11948,3
11956,4
11958,3
11960,9
11964,0
11965,5
11966,0
11967,9
11970,4
11972,0
11973,2
11975,6
11978,5
11983,7
11985,0
11990,9
11991,0
11993,9
11994,5
11997,3
12004,4
12005,6
12006,9
12007,6
12008,2
12009,7
12010,6
12020,4
12028,6
12029,7
12031,9
12032,5
12034,4
12038,6
12040,2
12044,0
12046,8
12047,3
12051,3
12054,0
12055,6
12058,7
12059,0
12060,7
12061,4
12062,6
12065,7
12069,0
12072,9
12073,0
12077,2
12083,9
12084,2
12086,0
12087,2
12088,4
12089,7
12092,4
12095,9
12097,7
12098,2
12099,4
12101,2
12102,5
12104,5
12107,6
12110,0
12113,4
12114,7
12115,9
12121,9
12125,0
12126,7
12131,4
12132,7
12133,5
12135,6
12138,6
12141,7
12145,6
12150,4
12151,7
12152,6
12156,7
12161,6
12163,9
12165,0
12166,6
12167,5
12168,0
12171,9
12172,7
12173,9
12174,6
12180,4
12181,5
12182,7
12183,4
12185,5
12188,7
12189,5
12193,3
12195,5
12197,0
12206,4
12210,4
12211,4
12212,6
12217,2
12218,3
12220,0
12223,7
12225,7
12226,7
12228,7
12229,2
12230,7
12231,0
12233,6
12235,0
12237,7
12238,6
12240,4
12241,7
12245,7
12247,4
12248,5
12254,0
12255,9
12259,4
12262,6
12265,4
12267,7
12269,7
12270,7
12271,2
12273,5
12276,7
12279,7
12284,3
12286,7
12287,5
12288,6
12290,7
12295,7
12296,9
12298,6
12299,5
12300,4
12305,0
12306,0
12307,9
12308,5
12309,3
12310,7
12311,6
12312,5
12313,5
12314,4
12316,8
12317,2
12320,9
12321,2
12322,6
12323,4
12324,6
12327,3
12328,5
12329,5
12330,6
12331,5
12333,5
12337,7
12338,4
12339,5
12341,6
12344,9
12348,0
