0	7319 7683 8678
1	2261
3	2550 6823
4	3890 8830
5	1670 5743
6	1379
7	5661
8	4498 7379 8677 8678
9	5064 5478 5704 6313 7443 8678 9784
10	1092 8367 8619
12	4590 5278
13	8322
14	1381 4489
15	4529 8182
16	2430 8545
18	2611 7997
19	4981
20	4533
21	1881
22	7872
24	3738
25	3738
26	5304
27	9478
28	8160
30	5166
31	7618
32	5870 8614
33	9523 9546
34	6532
37	2878 4881 8481 9897
38	9897
39	8293 9723
40	9666
41	5966
42	4895
43	4190 7319 8878
44	5756
45	4570
46	4108 9860
47	4895
48	4762 5434
49	8917
50	6757
51	3433 4130 5407
52	1219 4281
53	9546
54	1542 1676 2030 2114 2260 2890 3029 3133 3212 3617 3682 4510 4903 4956 5188 7149 7930 8834 9189 9233
56	3530
57	2260 3071 5017 5188 6567 6722 7733 7881 7933 8428
58	7595
59	1298 1927 2830 4703 4758 4956 5252 7399 8403 9333
60	1345 4758 9094 9400
61	4820 5278 6561 8797
62	1665 1796 1927 4609 4820 6363 9582
64	1797 2612 3366 4445 6498 7404
66	3888 4903 6039 7933 8428 8797 8834 9189 9839
67	1242 1609 1796 2635 3071 4387 4956 5229 6039
68	4576 7399 9333
69	3189 5493 5821 8993
71	1796 2810 3122 4609 6567 8958
72	1664 3617 7570 7881 8834 8888
73	5142 7234
74	1796 2719 5378 6567 7933
75	1133 2830 3384 8403 9282
77	4978 5916 9569
78	2007 2335 4609 5017 6060
79	2007 2819 8403 8986
80	7733
81	7733
83	4602 8719
84	7810
85	1665 5330
86	2329
88	3220
90	5594
91	1379 1634
92	6340
93	8839
94	4096
95	3573
97	7182 7738
100	7034 7660
101	1629 4753 8701
102	8713
103	6371 7848
105	2002 4083
106	5594 5837
108	8713 8888
109	4096 5837 8888
111	1629
112	6405
113	4096 9661
114	8888
115	4096
116	5378 7140
117	8888
118	4504 7997
119	8587 9224
120	4096 8713 8888
121	3299 3628 4498 7236 7649
122	7390
124	4096
125	1630 2755 4153 9012
126	4096 6340
127	1665 8678
128	8713
129	4096
130	5297
131	4096
132	5119
133	4096 8713 8888
135	4883 9096
136	1992 2751 6588 8293 8677 8952
137	3220 3837 4573 4633 8224 8677
139	6201 8677
141	2550 3530
142	1230 1473 2833 4360 4547 5667 6864 8677 8838 9234 9687
143	2381
144	3364
146	2820
147	2919 5530 7700 8834
148	6295
149	1710 3359 4092 7727 7854 7932 8254 8938 9102
152	4095
153	1230 5320 9530
154	2862 3276 6492
155	4895
156	8403
157	5783
158	2037 3061 3343 4188 5364 6421 7594 7657 8169 9989
159	3829
160	1214 1230 1473 1794 3789 6371 6643 8286
162	9071
163	9381
164	1746 4223
165	2196 3384 6084 8908 9820
166	1417
168	1063
169	1230 4978 6588
170	1178
171	3014 9295
172	1379 6558
174	7638
175	1178 3954 9177
176	2626
177	1975 3552 9484
178	6100
179	6100
181	2574 2876
182	6248
183	8195
184	1146 5173 6240
185	8095
186	3009 8908
188	5908 9523
189	7421
191	6678 9849
193	5951 9523
194	5908 8123 8908
195	1395 6129
196	5908 6310 6914 9687
197	2435
198	1160 7401
199	3696 4188 5649 8854
200	7471
201	7490 8181
202	4075 8770
203	4075 8770
204	4075 5231 5300 5357 8770
205	5357
206	3753
207	2550 4075 5231 8770
208	4075 8770
209	4075 5011 5231 8770
210	1338
211	1665 4486 4602
212	7176
215	7176
216	4075
217	7176
218	4075 5320
219	2116 7176
220	7176
221	7176
222	2116 7176 7973
223	7176 8058
225	1023 5320
226	7176
227	6362 7176 8058
228	5011 5320
229	2116 3885 3980 6421 7176 9564
230	5011
231	1023 1381 4075 6565 8770
232	4075 6565 8770
233	4489
234	5357 6823
235	1907 9564
237	7176 7632 9500
238	1242 7176
239	4075 4338 5300
240	7176 7599
242	6167 6191 7570
243	2329 7176 8058
245	5307 8622
246	3029 5070 8509
249	7176
250	4075 7325
251	2989 4075 8770
253	7176
256	2471 4765 6129 6745
257	1379
258	4089 8800
259	2925 3884 5110 5229 6701
260	1230 6004 6371
261	8876
262	2390
263	1243 1715 2274 3539 8824
265	2258 6004
266	1715 4529 9417
268	3075 5446 5996 8704
269	3166
270	4758 5351 9166
271	7638
272	5829
273	2833
276	3840
277	5829
278	4758 7638
280	1833 7638
281	3946 5829
282	7638 9484
283	4125 7664
285	3507 9835
286	6754
288	2390 6421 9585
289	3849
290	6823 7209
291	3022 7733
292	5966
293	6823
295	6823
296	6823
297	6823
298	9859
299	6006 6285 8392
300	1083 8952
302	1710 7599
303	5696 5841
304	7696
305	1311 4555 4590
306	3705
307	7855
308	2820
310	5183
312	9333
313	2909 3974 4895 5995 7225
314	7570
315	2505 5877
316	6421
317	6754 6807
318	3583
319	8719
320	3105 4536
321	8719
322	1365
324	2399 2730 3054 3363 6630 6778 8447 8785 8843 9505
325	3539 8854
326	9065
328	2550
329	2550
330	2550
332	2550 9846
333	7632
336	2550
338	2550 7986
339	6823 7632
340	1062
341	6823
342	4493 7632
344	4035
345	7632
346	9210
347	3636 7632 8195 9989
348	2550 6823
349	6823 7632
350	6823
351	8028
352	6823
354	2550 7632
355	2424 6240 6823
356	6541
357	3530
358	2550 3530 6747 8218
360	8182
362	6083
363	1710 9852
364	3745 7668
365	4590
366	6370
367	1473
369	6837
370	1230
371	2550
372	3340
373	3358 4758 8795
375	3358 7641
376	1024
378	3220
379	5194 5270 6701
380	4967
382	9612
383	6112
384	6276
385	2302 9612 9896
386	7530
387	8567
388	8825 9991
389	3565
390	7529
391	4670 5829 8118
394	3676 4359
396	1146 1214 4089 4978 7277 7918 8616
397	1418
398	5434
399	1723 2985 3203 5344 9687
400	1927 7926 9408
401	9789
402	3399 4088 4153 4208
403	3882 7910
404	8199
405	3762 8080
406	6559 8838
407	4208
408	4490
409	1230 1864 3882
410	1230 3882 4208 5059 9210
411	5118 8034
413	4978 6481
414	2550 9636
416	1797 9569
417	1230
418	1484 7370
419	2865
420	4258 7461
421	3952 5621 8080
424	2620 3618 4978 5112 6505
425	2568 3220 3554 4208 6585 7370 7461
426	4053
427	2370 3244 8335
430	3092 3882
431	1230 1484 2326 4025 5273 9233 9292
432	1927 5649
434	2329 4208 5621 9233
435	4088 4208 5966 6745
436	6467 8284
437	6867
438	2291 2833
439	1636 6143 6172 6870
440	9886
441	2960 7578
443	8771
444	4768 8629
445	1129 2857 4111 4164 5500
446	1253 2960 8092 8843
447	6492
448	5719 8795
449	2904 3545
450	3583 3840 4053 5252
452	3583 7570 8293
453	4308 6604 8676
454	5351
455	1338 3668 4007 4978 8455 9847
456	2823 3384 4331
457	2390 2398 2857 3980 4978 5351 5935
458	3997 4338 5743
460	3647
463	2743
464	1230 1473
465	1426 2743 3274 3927
466	7084
467	8622
469	6461 7084 8622
470	8822
471	1779
472	6837 8800
474	4590
475	2950 6701
476	3817 4930
477	3571 4379 5966 6004 6904
479	3571 4188 5741 6004 6405 6914
480	2552 3364 3696 4590
482	8246
484	2513 3215
485	3798 8067
486	7987
487	4073
488	4590 4658 6541 8798
489	1379 4658 6810 8854
490	3789
491	8689
492	3384 6867
493	3364 3384
494	6017
495	6191
496	6033 8830
497	1633
498	4590 5693 6732
500	1671 4092 5601 6578 7792 9224 9293 9981
502	3767 5229 6734 8908
503	9751
504	5188
505	1024
506	1710 2102 2508 3231 5163 6467 9417
507	1710 2102 3231 3499 5163 6467
509	1710 2102 2806 3231 6467
510	1710 2806 5349 6467 8876 9852
511	2806
512	8975
513	2102 2806
514	2977 6525 6598
515	7504
516	6467
517	3927 6467 8250
518	6467
